Order ID,Order Date,Year,MONTH,Day,MonthName,Order Qty,Cost of Sales,Sales,Profit,Channel,Product Name,Manufacturer,Product Sub Category,Product Category,Region,Country
7077,9/13/2017,2017,9,13,Sep,9,685,2715,2030,Store,Contoso SLR Camera M143 Grey,"Contoso, Ltd",Digital SLR Cameras,Cameras and camcorders ,Europe,Russia
117,8/20/2016,2016,8,20,Aug,4,30,51,21,Store,Contoso 512MB MP3 Player E51 Blue,"Contoso, Ltd",MP4&MP3,Audio,Europe,Russia
7018,7/8/2016,2016,7,8,Jul,9,92,1396,1305,Store,Contoso DVD 9-Inch Player Portable M300 Silver,"Contoso, Ltd",Movie DVD,"Music, Movies and Audio Books",Europe,Russia
140,8/11/2018,2018,8,11,Aug,18,11,463,453,Store,NT Bluetooth Stereo Headphones E52 Pink,Northwind Traders,Bluetooth Headphones,Audio,North America,United States
491,7/15/2017,2017,7,15,Jul,9,977,2615,1638,Online,Contoso SLR Camera M143 Grey,"Contoso, Ltd",Digital SLR Cameras,Cameras and camcorders ,Asia,China
58,10/2/2018,2018,10,2,Oct,24,1872,7057,5185,Online,SV Car Video TFT7 M7000 Silver,Southridge Video,Car Video,TV and Video,Asia,China
7085,2/22/2019,2019,2,22,Feb,10,1550,6990,5441,Online,Adventure Works Laptop15 M1501 Red,Adventure Works,Laptops,Computers,Asia,China
929,3/13/2017,2017,3,13,Mar,5,483,890,408,Online,Fabrikam Social Videographer 1/2'' 3mm E300 White,"Fabrikam, Inc.",Camcorders,Cameras and camcorders ,Asia,China
1527,6/26/2017,2017,6,26,Jun,13,2957,3891,935,Online,The Phone Company Smart phones Unlocked International M800 Gold,The Phone Company,Smart phones & PDAs ,Cell phones,Asia,China
7264,1/16/2018,2018,1,16,Jan,30,4760,8970,4211,Online,The Phone Company PDA Phone 3.5 inches M320 Silver,The Phone Company,Smart phones & PDAs ,Cell phones,Asia,China
1471,8/21/2016,2016,8,21,Aug,18,6240,13591,7352,Online,"Adventure Works 42"" LCD HDTV M55 Black",Adventure Works,Televisions,TV and Video,Asia,China
845,12/13/2017,2017,12,13,Dec,24,4629,14112,9484,Online,"A. Datum SLR Camera 35"" X358 Gold",A. Datum Corporation,Digital SLR Cameras,Cameras and camcorders ,Asia,China
7144,12/12/2017,2017,12,12,Dec,24,1208,2303,1096,Online,Contoso 4GB Portable MP3 Player M450 Yellow,"Contoso, Ltd",MP4&MP3,Audio,Asia,China
1160,2/17/2017,2017,2,17,Feb,10,1819,2993,1175,Online,Contoso 8GB Clock & Radio MP3 Player X850 Silver,"Contoso, Ltd",MP4&MP3,Audio,Asia,China
619,12/15/2017,2017,12,15,Dec,12,1732,3591,1860,Online,Contoso 8GB Clock & Radio MP3 Player X850 Green,"Contoso, Ltd",MP4&MP3,Audio,Asia,China
625,1/8/2019,2019,1,8,Jan,20,261,3180,2920,Online,"Proseware Color Ink Jet Fax, Copier, Phone M250 Black","Proseware, Inc.","Printers, Scanners & Fax",Computers,Asia,China
523,5/15/2019,2019,5,15,May,26,2071,5079,3009,Online,WWI 2GB Pulse Smart pen M100 Blue,Wide World Importers,Recording Pen,Audio,Asia,China
879,12/4/2018,2018,12,4,Dec,6,978,1776,799,Online,WWI 4GB Video Recording Pen X200 Red,Wide World Importers,Recording Pen,Audio,Asia,China
7409,12/2/2017,2017,12,2,Dec,12,1837,3552,1716,Online,WWI 4GB Video Recording Pen X200 Yellow,Wide World Importers,Recording Pen,Audio,Asia,China
1170,3/2/2019,2019,3,2,Mar,20,2165,3120,956,Online,WWI 1GB Digital Voice Recorder Pen E100 Black,Wide World Importers,Recording Pen,Audio,Asia,China
1154,6/4/2018,2018,6,4,Jun,26,1641,3992,2352,Online,Contoso DVD 9-Inch Player Portable M300 Silver,"Contoso, Ltd",Movie DVD,"Music, Movies and Audio Books",Asia,China
1572,7/17/2018,2018,7,17,Jul,9,2416,3321,906,Online,SV Car Video LCD7 M7002 Black,Southridge Video,Car Video,TV and Video,Asia,China
7548,7/27/2017,2017,7,27,Jul,18,114,706,592,Online,NT Wireless Bluetooth Stereo Headphones E302 Silver,Northwind Traders,Bluetooth Headphones,Audio,Asia,China
7056,3/2/2017,2017,3,2,Mar,10,4863,6990,2128,Online,WWI Projector 720p LCD56 Black,Wide World Importers,Projectors & Screens,Computers,Asia,China
657,3/9/2018,2018,3,9,Mar,20,1759,4380,2622,Online,Contoso DVD Recorder L210 Silver,"Contoso, Ltd",Movie DVD,"Music, Movies and Audio Books",Asia,China
7059,6/21/2017,2017,6,21,Jun,13,1359,2346,988,Online,A. Datum Bridge Digital Camera M300 Orange,A. Datum Corporation,Digital Cameras,Cameras and camcorders ,Asia,China
969,11/8/2017,2017,11,8,Nov,12,126,1160,1034,Online,NT Wireless Bluetooth Stereo Headphones M402 Purple,Northwind Traders,Bluetooth Headphones,Audio,Asia,China
7061,8/2/2017,2017,8,2,Aug,36,1449,2374,925,Online,Proseware CRT19 E201 White,"Proseware, Inc.",Monitors,Computers,Asia,China
7740,2/4/2017,2017,2,4,Feb,25,996,7498,6502,Online,Litware Home Theater System 2.1 Channel E212 Brown,"Litware, Inc.",Home Theater System,TV and Video,Asia,China
7605,2/25/2018,2018,2,25,Feb,10,29,1869,1841,Online,A. Datum Bridge Digital Camera M300 Green,A. Datum Corporation,Digital Cameras,Cameras and camcorders ,Asia,China
7069,6/15/2016,2016,6,15,Jun,6,207,736,530,Online,WWI LCD17W E200 White,Wide World Importers,Monitors,Computers,Asia,China
1755,8/7/2016,2016,8,7,Aug,4,256,216,-40,Online,WWI Stereo Bluetooth Headphones E1000 Green,Wide World Importers,Bluetooth Headphones,Audio,Asia,China
7119,7/22/2016,2016,7,22,Jul,9,5,3019,3014,Store,Contoso SLR Camera M145 Blue,"Contoso, Ltd",Digital SLR Cameras,Cameras and camcorders ,North America,United States
689,7/27/2017,2017,7,27,Jul,12,2810,3563,754,Store,Contoso SLR Camera M143 Grey,"Contoso, Ltd",Digital SLR Cameras,Cameras and camcorders ,Europe,United Kingdom
7015,5/8/2018,2018,5,8,May,8,545,755,211,Store,Proseware Photo Inkjet Printer E290 Green,"Proseware, Inc.","Printers, Scanners & Fax",Computers,Europe,United Kingdom
7020,9/14/2017,2017,9,14,Sep,12,210,372,163,Store,Contoso Integrated Business Phone L08 White,"Contoso, Ltd",Home & Office Phones,Cell phones,Europe,United Kingdom
698,10/22/2018,2018,10,22,Oct,20,4839,6080,1242,Store,Contoso SLR Camera M143 Grey,"Contoso, Ltd",Digital SLR Cameras,Cameras and camcorders ,North America,United States
7043,10/8/2016,2016,10,8,Oct,15,2756,4049,1294,Store,WWI Desktop PC1.80 E1801 Black,Wide World Importers,Desktops,Computers,North America,Canada
7080,5/13/2018,2018,5,13,May,13,4674,7901,3227,Store,Fabrikam SLR Camera X149 Blue,"Fabrikam, Inc.",Digital SLR Cameras,Cameras and camcorders ,North America,United States
7052,9/18/2016,2016,9,18,Sep,5,119,135,17,Store,Contoso Bright Light battery E20 Pink,"Contoso, Ltd",Computers Accessories,Computers,North America,United States
7022,4/15/2019,2019,4,15,Apr,13,1883,2520,637,Store,WWI 2GB Pulse Smart pen M100 Silver,Wide World Importers,Recording Pen,Audio,North America,United States
1260,11/19/2016,2016,11,19,Nov,5,10,65,56,Online,Contoso 512MB MP3 Player E51 Silver,"Contoso, Ltd",MP4&MP3,Audio,Europe,Germany
7084,10/7/2016,2016,10,7,Oct,10,2064,4090,2027,Online,Contoso Home Theater System 4.1 Channel M1400 Brown,"Contoso, Ltd",Home Theater System,TV and Video,Europe,Germany
7728,2/17/2018,2018,2,17,Feb,9,1159,1479,321,Online,"Adventure Works 20"" CRT TV E15 White",Adventure Works,Televisions,TV and Video,Europe,Germany
416,6/9/2016,2016,6,9,Jun,16,2439,4836,2398,Online,The Phone Company Smart phones Unlocked International M800 Gold,The Phone Company,Smart phones & PDAs ,Cell phones,Europe,Germany
273,5/17/2018,2018,5,17,May,8,318,575,258,Online,Contoso 4GB Flash MP3 Player E401 Blue,"Contoso, Ltd",MP4&MP3,Audio,Europe,Germany
837,12/13/2017,2017,12,13,Dec,10,511,960,450,Online,Contoso 4GB Portable MP3 Player M450 Black,"Contoso, Ltd",MP4&MP3,Audio,Europe,Germany
407,5/21/2019,2019,5,21,May,16,3260,3434,175,Online,Contoso 16GB New Generation MP5 Player M1650 Silver,"Contoso, Ltd",MP4&MP3,Audio,Europe,Germany
6990,5/21/2019,2019,5,21,May,32,300,1373,1074,Online,SV Keyboard E10 Grey,Southridge Video,Computers Accessories,Computers,Europe,Germany
7339,3/26/2019,2019,3,26,Mar,16,2003,3527,1525,Online,Contoso 16GB New Generation MP5 Player M1650 White,"Contoso, Ltd",MP4&MP3,Audio,Europe,Germany
161,7/31/2017,2017,7,31,Jul,24,1007,1151,144,Online,NT Wireless Bluetooth Stereo Headphones E102 Silver,Northwind Traders,Bluetooth Headphones,Audio,Europe,Germany
7045,5/2/2017,2017,5,2,May,8,104,456,352,Online,Adventure Works CRT19 E10 Black,Adventure Works,Monitors,Computers,Europe,Germany
840,4/26/2018,2018,4,26,Apr,8,1327,1287,-40,Online,Fabrikam Social Videographer 1/3'' 8.5mm E200 Black,"Fabrikam, Inc.",Camcorders,Cameras and camcorders ,Europe,Germany
7410,2/7/2019,2019,2,7,Feb,9,196,2200,2005,Online,WWI Wireless Transmitter and Bluetooth Headphones X250 Blue,Wide World Importers,Bluetooth Headphones,Audio,Europe,Germany
7280,6/9/2018,2018,6,9,Jun,9,392,1770,1379,Store,WWI 2GB Pulse Smart pen M100 Blue,Wide World Importers,Recording Pen,Audio,Europe,United Kingdom
